venue,year,n_titles_captured,n_titles_official,signal_id,genuine_hits
ITS,2024,62,63,1,4
ITS,2024,62,63,2,22
ITS,2024,62,63,3,1
ITS,2024,62,63,4,2
ITS,2024,62,63,5,3
ITS,2024,62,63,6,0
ITS,2024,62,63,7,3
ITS,2025,49,53,1,1
ITS,2025,49,53,2,14
ITS,2025,49,53,3,1
ITS,2025,49,53,4,3
ITS,2025,49,53,5,1
ITS,2025,49,53,6,0
ITS,2025,49,53,7,8
AIED,2024,76,76,1,2
AIED,2024,76,76,2,20
AIED,2024,76,76,3,2
AIED,2024,76,76,4,2
AIED,2024,76,76,5,2
AIED,2024,76,76,6,0
AIED,2024,76,76,7,8
AIED,2025,254,259,1,17
AIED,2025,254,259,2,93
AIED,2025,254,259,3,18
AIED,2025,254,259,4,7
AIED,2025,254,259,5,11
AIED,2025,254,259,6,0
AIED,2025,254,259,7,19
LAK,2024,95,95,1,0
LAK,2024,95,95,2,11
LAK,2024,95,95,3,9
LAK,2024,95,95,4,3
LAK,2024,95,95,5,9
LAK,2024,95,95,6,1
LAK,2024,95,95,7,14
LAK,2025,101,101,1,3
LAK,2025,101,101,2,27
LAK,2025,101,101,3,8
LAK,2025,101,101,4,2
LAK,2025,101,101,5,6
LAK,2025,101,101,6,1
LAK,2025,101,101,7,11
